id,expiration_time,pokemon_id,lat,long
2469977,1469532178,58,51.466474,-.177573
2714933,1469532179,58,51.466474,-.177573
2877562,1469532503,147,51.459227,-.193778
2877563,1469532167,118,51.459145,-.193318
2360555,1469532168,118,51.459145,-.193318
1697864,1469532093,92,51.460548,-.188737
2792621,1469532486,124,51.462522,-.185903
1697073,1469532140,10,51.465910,-.170408
2458121,1469532387,17,51.464850,-.165904
2283066,1469532388,17,51.464850,-.165904
2013000,1469532082,20,51.461236,-.167534
3078638,1469532722,63,51.462795,-.167819
1783827,1469532254,13,51.464703,-.153054
1300475,1469532033,13,51.458142,-.149899
2095674,1469532400,129,51.459709,-.143118
2161602,1469532341,48,51.461682,-.140468
2161605,1469532379,60,51.462092,-.140654
2523400,1469532548,90,51.468597,-.121421
2057579,1469532289,92,51.465240,-.113520
1907547,1469532132,32,51.459822,-.115882
3194837,1469532229,98,51.465166,-.104718
3194838,1469532181,29,51.465906,-.103988
3114177,1469532132,17,51.463064,-.060362
3048281,1469532323,29,51.460042,-.011022
2273647,1469532355,147,51.458812,-.003704
2723427,1469532208,124,51.461930,-.010199
3129568,1469532422,39,51.462997,-.010108
3129567,1469532168,133,51.464146,-.010566
2800053,1469532566,35,51.459300,.031151
2800056,1469532553,46,51.459956,.031518
2985561,1469532418,35,51.467246,.066509
2985560,1469531971,43,51.466670,.069531
2813978,1469532150,13,51.451277,-.388366
2114104,1469532064,97,51.456469,-.355630
2535692,1469531986,120,51.455107,-.344283
1713803,1469532118,97,51.456183,-.341165
2503633,1469532021,86,51.456922,-.340990
1713800,1469532022,86,51.456922,-.340990
2503635,1469532377,94,51.457007,-.340162
1945893,1469532233,116,51.453220,-.344168
3269961,1469532822,22,51.455081,-.353125
3067042,1469532036,13,51.456521,-.308025
2853559,1469532315,14,51.454886,-.305706
2853556,1469532561,129,51.455219,-.303961
2375531,1469531954,98,51.455959,-.303233
2033780,1469531955,98,51.455959,-.303233
2396176,1469532256,138,51.457020,-.305545
1109829,1469532026,10,51.452268,-.302457
2465781,1469532210,90,51.453338,-.301456
1109830,1469531963,77,51.453831,-.301186
1033243,1469531981,13,51.448431,-.294780
2379811,1469532382,13,51.456204,-.269934
2379810,1469532459,66,51.456041,-.269748
2379815,1469532404,10,51.456703,-.267180
2966194,1469532699,129,51.450390,-.264913
2966193,1469532147,66,51.451131,-.263541
2707876,1469532574,14,51.453947,-.251616
2783026,1469532183,13,51.449779,-.243767
3226887,1469532131,13,51.449621,-.240826
1419377,1469532132,13,51.449621,-.240826
2844597,1469532235,133,51.447347,-.228955
2844592,1469532246,92,51.448248,-.229789
2844595,1469532254,79,51.448333,-.228596
2844598,1469532316,13,51.449071,-.228418
2068716,1469532240,98,51.455333,-.215148
1545563,1469532000,106,51.455367,-.195587
2916071,1469532001,106,51.455367,-.195587
1512454,1469532147,79,51.454714,-.193288
2916073,1469532437,116,51.457416,-.196612
2448905,1469532434,98,51.455309,-.180531
2038902,1469532093,7,51.454054,-.195486
2289075,1469531947,37,51.457054,-.165399
2786583,1469532179,129,51.450523,-.139770
3036312,1469532387,90,51.456290,-.118434
2406064,1469532330,69,51.452349,-.120617
2406065,1469532123,86,51.452678,-.120710
1641686,1469532232,13,51.448743,-.116386
1851712,1469531988,124,51.456970,-.092958
2837004,1469532666,13,51.448694,-.077360
2837005,1469532551,46,51.448778,-.074339
2727668,1469532623,58,51.457975,-.062274
1618093,1469532207,13,51.452726,-.056220
2117712,1469532408,10,51.457492,-.041400
3100277,1469532647,60,51.453226,-.038099
2273645,1469532445,118,51.457171,-.003338
2273644,1469532256,79,51.457171,-.003063
2770177,1469532188,1,51.448801,-.008914
962785,1469531964,17,51.453067,-.008641
2935576,1469532337,27,51.456760,.005441
2935575,1469532557,116,51.456104,.005990
3010082,1469532392,118,51.457579,.019346
3010083,1469532478,120,51.457661,.019529
1622768,1469532091,13,51.448217,.047242
2488860,1469532280,14,51.450594,.053653
2419606,1469532281,14,51.450594,.053653
2488861,1469532019,14,51.450594,.053836
2419608,1469532020,14,51.450594,.053836
2848660,1469531959,25,51.449286,.042577
4279866,1469532834,56,51.534697,-.304828
3898406,1469532835,56,51.534697,-.304828
2632013,1469532568,124,51.530125,-.293338
4547693,1469533109,43,51.531524,-.292430
